iso_country_code,country,world_region,survey_source ,survey_year,subnational_region,mpi_country,mpi_region,hr_poor,deprivation_intensity,poverty_vulnerability,hr_severe_poverty,population_country_survey_year,population_country_2020,population _country_2021,Population 2021,population _region_2021,population_mpi_poor,n_indicators,missing_indicators
COD,"Congo, Democratic Republic of the",Sub-Saharan Africa,MICS,2017-2018,Haut-Katanga,0.331,0.288,55.4,52.06,20.99,29.79,"87,087","92,853","95,894",8.09,"7,759","4,299",10,
COD,"Congo, Democratic Republic of the",Sub-Saharan Africa,MICS,2017-2018,Haut-Lomami,0.331,0.399,76.77,51.96,18.92,43.43,"87,087","92,853","95,894",2.02,"1,933","1,484",10,
COD,"Congo, Democratic Republic of the",Sub-Saharan Africa,MICS,2017-2018,Haut-Uélé,0.331,0.328,65.51,50.07,25.63,32.43,"87,087","92,853","95,894",1.94,"1,863","1,221",10,
COD,"Congo, Democratic Republic of the",Sub-Saharan Africa,MICS,2017-2018,Ituri,0.331,0.399,74.3,53.7,18.04,41.18,"87,087","92,853","95,894",3.74,"3,590","2,668",10,
COD,"Congo, Democratic Republic of the",Sub-Saharan Africa,MICS,2017-2018,Kasaï,0.331,0.525,93.58,56.11,5.94,71.05,"87,087","92,853","95,894",4.35,"4,168","3,901",10,
COD,"Congo, Democratic Republic of the",Sub-Saharan Africa,MICS,2017-2018,Kasaï-Central,0.331,0.482,89.44,53.84,9.72,59.65,"87,087","92,853","95,894",3.62,"3,471","3,105",10,
COD,"Congo, Democratic Republic of the",Sub-Saharan Africa,MICS,2017-2018,Kasaï-Oriental,0.331,0.395,74.49,53.07,16.39,43.3,"87,087","92,853","95,894",3.42,"3,280","2,443",10,
COD,"Congo, Democratic Republic of the",Sub-Saharan Africa,MICS,2017-2018,Kinshasa,0.331,0.068,16.2,42.2,17.86,3.28,"87,087","92,853","95,894",13.77,"13,203","2,139",10,
COD,"Congo, Democratic Republic of the",Sub-Saharan Africa,MICS,2017-2018,Kongo Central,0.331,0.276,54.21,50.92,22.31,30.76,"87,087","92,853","95,894",7.05,"6,763","3,666",10,
COD,"Congo, Democratic Republic of the",Sub-Saharan Africa,MICS,2017-2018,Kwango,0.331,0.481,90.17,53.33,9.33,64.28,"87,087","92,853","95,894",2.57,"2,464","2,222",10,
COD,"Congo, Democratic Republic of the",Sub-Saharan Africa,MICS,2017-2018,Kwilu,0.331,0.426,86.46,49.29,11.28,52.92,"87,087","92,853","95,894",6.93,"6,643","5,743",10,
COD,"Congo, Democratic Republic of the",Sub-Saharan Africa,MICS,2017-2018,Lomami,0.331,0.377,75.08,50.27,22.78,37.98,"87,087","92,853","95,894",2.63,"2,526","1,896",10,
COD,"Congo, Democratic Republic of the",Sub-Saharan Africa,MICS,2017-2018,Lualaba,0.331,0.368,69.84,52.72,14.7,40.36,"87,087","92,853","95,894",2.89,"2,771","1,935",10,
COD,"Congo, Democratic Republic of the",Sub-Saharan Africa,MICS,2017-2018,Mai-Ndombe,0.331,0.36,75.99,47.35,23.53,35.87,"87,087","92,853","95,894",3.3,"3,164","2,405",10,
COD,"Congo, Democratic Republic of the",Sub-Saharan Africa,MICS,2017-2018,Maniema,0.331,0.438,85.14,51.4,14.29,54.41,"87,087","92,853","95,894",1.17,"1,123",956,10,
COD,"Congo, Democratic Republic of the",Sub-Saharan Africa,MICS,2017-2018,Mongala,0.331,0.432,83.26,51.89,16.44,49.3,"87,087","92,853","95,894",0.67,643,535,10,
COD,"Congo, Democratic Republic of the",Sub-Saharan Africa,MICS,2017-2018,Nord Kivu,0.331,0.351,67.34,52.14,16.15,38.79,"87,087","92,853","95,894",8.69,"8,333","5,612",10,
COD,"Congo, Democratic Republic of the",Sub-Saharan Africa,MICS,2017-2018,Nord Ubangi,0.331,0.45,83.47,53.96,13.72,55.84,"87,087","92,853","95,894",0.78,751,627,10,
COD,"Congo, Democratic Republic of the",Sub-Saharan Africa,MICS,2017-2018,Sankuru,0.331,0.428,83.88,51,14.8,50.93,"87,087","92,853","95,894",1.02,975,818,10,
COD,"Congo, Democratic Republic of the",Sub-Saharan Africa,MICS,2017-2018,Sud-Kivu,0.331,0.32,62.2,51.47,20.59,34.32,"87,087","92,853","95,894",7.99,"7,666","4,768",10,
COD,"Congo, Democratic Republic of the",Sub-Saharan Africa,MICS,2017-2018,Sud-Ubangi,0.331,0.431,78.77,54.71,16.87,51.09,"87,087","92,853","95,894",1.73,"1,655","1,304",10,
COD,"Congo, Democratic Republic of the",Sub-Saharan Africa,MICS,2017-2018,Tanganyika,0.331,0.388,73.55,52.7,22.39,43.89,"87,087","92,853","95,894",2.44,"2,339","1,720",10,
COD,"Congo, Democratic Republic of the",Sub-Saharan Africa,MICS,2017-2018,Tshopo,0.331,0.338,69.63,48.57,17.35,32.71,"87,087","92,853","95,894",4.71,"4,513","3,142",10,
COD,"Congo, Democratic Republic of the",Sub-Saharan Africa,MICS,2017-2018,Tshuapa,0.331,0.486,88.65,54.8,10.23,61.61,"87,087","92,853","95,894",0.78,749,664,10,
CRI,Costa Rica,Latin America and the Caribbean,MICS,2018,Alajuela,0.002,0.003,0.74,35.61,2.66,0.03,"5,041","5,123","5,154",19.6,"1,010",7,9,Cooking fuel
CRI,Costa Rica,Latin America and the Caribbean,MICS,2018,Cartago,0.002,0.001,0.29,37.53,2.37,0,"5,041","5,123","5,154",11.62,599,2,9,Cooking fuel
CRI,Costa Rica,Latin America and the Caribbean,MICS,2018,Guanacaste,0.002,0.001,0.32,36.42,1.27,0.02,"5,041","5,123","5,154",8.58,442,1,9,Cooking fuel
CRI,Costa Rica,Latin America and the Caribbean,MICS,2018,Heredia,0.002,0,0.03,36.67,1.07,0,"5,041","5,123","5,154",9.73,502,0,9,Cooking fuel
CRI,Costa Rica,Latin America and the Caribbean,MICS,2018,Limón,0.002,0.004,1.04,40.4,4.42,0.05,"5,041","5,123","5,154",9.13,471,5,9,Cooking fuel
CRI,Costa Rica,Latin America and the Caribbean,MICS,2018,Puntarenas,0.002,0.003,0.88,36.09,4.2,0,"5,041","5,123","5,154",10.7,551,5,9,Cooking fuel
CRI,Costa Rica,Latin America and the Caribbean,MICS,2018,San José,0.002,0.002,0.46,37.2,1.79,0.01,"5,041","5,123","5,154",30.64,"1,579",7,9,Cooking fuel
CIV,Côte d'Ivoire,Sub-Saharan Africa,MICS,2016,Centre,0.236,0.221,46.1,47.95,20.71,19.85,"24,214","26,812","27,478",5.77,"1,584",730,10,
CIV,Côte d'Ivoire,Sub-Saharan Africa,MICS,2016,Centre-Est,0.236,0.214,42.41,50.46,24.28,21.15,"24,214","26,812","27,478",2.2,604,256,10,
CIV,Côte d'Ivoire,Sub-Saharan Africa,MICS,2016,Centre-Nord,0.236,0.208,41.75,49.93,24.73,20.02,"24,214","26,812","27,478",6.62,"1,819",759,10,
CIV,Côte d'Ivoire,Sub-Saharan Africa,MICS,2016,Centre-Ouest,0.236,0.312,61.19,51.06,16.81,33.27,"24,214","26,812","27,478",13.75,"3,779","2,312",10,
CIV,Côte d'Ivoire,Sub-Saharan Africa,MICS,2016,Nord,0.236,0.408,70.78,57.69,14.58,47.92,"24,214","26,812","27,478",6.13,"1,684","1,192",10,
CIV,Côte d'Ivoire,Sub-Saharan Africa,MICS,2016,Nord-Est,0.236,0.343,63.25,54.27,13.86,38.95,"24,214","26,812","27,478",4.54,"1,247",788,10,
CIV,Côte d'Ivoire,Sub-Saharan Africa,MICS,2016,Nord-Ouest,0.236,0.405,75.36,53.72,14.64,45.9,"24,214","26,812","27,478",5.75,"1,580","1,191",10,
CIV,Côte d'Ivoire,Sub-Saharan Africa,MICS,2016,Ouest,0.236,0.336,64.69,51.94,21.79,35.68,"24,214","26,812","27,478",9.62,"2,642","1,709",10,
CIV,Côte d'Ivoire,Sub-Saharan Africa,MICS,2016,Sud (ex. Ville d'Abidjan),0.236,0.192,38.16,50.3,19.16,19.87,"24,214","26,812","27,478",13.94,"3,831","1,462",10,
CIV,Côte d'Ivoire,Sub-Saharan Africa,MICS,2016,Sud-Ouest,0.236,0.321,64.62,49.63,14.8,33.19,"24,214","26,812","27,478",9.14,"2,511","1,623",10,
CIV,Côte d'Ivoire,Sub-Saharan Africa,MICS,2016,Ville d'Abidjan,0.236,0.042,10.25,40.67,15.13,1.67,"24,214","26,812","27,478",22.55,"6,196",635,10,
CUB,Cuba,Latin America and the Caribbean,MICS,2019,Artemisa,0.003,0,0,,0.44,0,"11,317","11,301","11,256",4.1,461,0,10,
CUB,Cuba,Latin America and the Caribbean,MICS,2019,Camagüey,0.003,0.003,0.8,33.33,4.6,0,"11,317","11,301","11,256",9.38,"1,056",8,10,
CUB,Cuba,Latin America and the Caribbean,MICS,2019,Ciego de Ávila,0.003,0.003,0.92,35.97,1.99,0.03,"11,317","11,301","11,256",4.55,512,5,10,
CUB,Cuba,Latin America and the Caribbean,MICS,2019,Cienfuegos,0.003,0.001,0.45,33.33,1.73,0,"11,317","11,301","11,256",3.82,430,2,10,
CUB,Cuba,Latin America and the Caribbean,MICS,2019,Granma,0.003,0.005,1.25,36.68,5.7,0.09,"11,317","11,301","11,256",6.85,771,10,10,
CUB,Cuba,Latin America and the Caribbean,MICS,2019,Guantánamo,0.003,0.004,1.06,35.81,3.15,0,"11,317","11,301","11,256",4.13,465,5,10,
CUB,Cuba,Latin America and the Caribbean,MICS,2019,Holguín,0.003,0.004,1.01,35.01,3.36,0,"11,317","11,301","11,256",9.53,"1,073",11,10,
CUB,Cuba,Latin America and the Caribbean,MICS,2019,Isla de la Juventud,0.003,0,0,,0.29,0,"11,317","11,301","11,256",0.73,82,0,10,
CUB,Cuba,Latin America and the Caribbean,MICS,2019,La Habana,0.003,0,0,,0.19,0,"11,317","11,301","11,256",15.21,"1,713",0,10,
CUB,Cuba,Latin America and the Caribbean,MICS,2019,Las Tunas,0.003,0.008,2.18,37.1,3.88,0.18,"11,317","11,301","11,256",4.12,464,10,10,
CUB,Cuba,Latin America and the Caribbean,MICS,2019,Matanzas,0.003,0.005,1.08,50.07,0.9,0.81,"11,317","11,301","11,256",7.87,886,10,10,
CUB,Cuba,Latin America and the Caribbean,MICS,2019,Mayabeque,0.003,0.001,0.21,38.92,0.83,0,"11,317","11,301","11,256",3.48,392,1,10,
CUB,Cuba,Latin America and the Caribbean,MICS,2019,Pinar del Río,0.003,0.002,0.51,35.5,3.59,0,"11,317","11,301","11,256",4.88,549,3,10,
CUB,Cuba,Latin America and the Caribbean,MICS,2019,Sancti Spíritus,0.003,0.002,0.48,33.33,3.17,0,"11,317","11,301","11,256",4.96,559,3,10,
